,,AgedHSC,AgedMPPa,AgedMPPb,AgedMPPc,CLP,CMP,GMP,HSC,MEP,MPPa,MPPb,MPPc
A0A068BER1,Tap1,172.61975234256172,203.9758741652829,196.32456289971154,176.40130263368835,172.0021406309708,167.6996894848495,115.25692956723853,146.39452139769443,118.26465809951566,194.24330263094083,176.5820544987516,132.80141886278773
A0A068BFS4,Ring1,52.02272380916974,44.9277012239948,46.156451490541365,45.21061489560035,8.815595379901533,47.514013444855316,33.66283123110724,35.78412922391825,41.22835555254224,23.573579794941235,53.84607929808556,63.144541443191166
A0A068BGR9,Ndufa7,60.3671673747823,61.127451485394886,55.187567223157764,44.63697980068426,66.20600015254952,52.81356381320592,30.311500233456496,45.66571948174274,38.24358938818202,38.609178588115626,29.742475379098057,47.30344928447622
A0A068BIU7,Wdr46,199.94973894757328,267.70986515368384,169.3756871092889,177.52414654227,148.4639449782192,146.341418317933,174.6838562453447,0.0,254.361755924688,124.93811805294217,122.7768014242493,130.2626058423453
A0A075DCG2,COX3,0.0,0.0,0.0,0.0,0.0,0.0,2.7766021584917877,0.0,0.0,0.0,0.0,0.0
A0A076N1C3,Kidins220,0.0,0.0,0.0,0.0,0.0,9.256150139507135,0.0,0.0,17.298914197503013,0.0,4.887545748856613,0.0
A0A087WNL5,Msl2,0.0,0.0,0.0,0.0,0.0,7.14384107176884,0.0,0.0,0.0,0.0,0.0,0.0
A0A087WNM5,Aamp,89.29336299405907,118.43599469032546,105.94282263829064,153.13469597084642,140.46249159546406,170.89052871215972,164.14856715085998,77.6229706648451,177.89027191455722,142.30945172876613,112.94235619461418,117.37945878836544
A0A087WNQ8,Ogfrl1,0.0,0.0,0.0,0.0,0.0,0.0,3.8174680405417982,0.0,0.0,0.0,8.064195535600257,40.88733971066567
A0A087WNW0,Nop58,793.397575965632,793.4079225636681,704.3869232035927,748.503907964699,556.6869172762196,859.8463813455758,543.9213249019557,344.6688367993117,709.8685239137413,579.2022686127789,724.8366581259377,918.8295776913159
A0A087WNY4,Ikzf2,0.0,24.555866175545205,41.13315343225119,9.38086686608219,0.0,20.660034250403417,1.9779764293986666,0.0,0.0,25.16462640224385,15.481160252566523,29.03388224188641
A0A087WP49,Dgkd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.938429188436469,0.0,0.0
A0A087WP62,Pik3r4,0.0,103.17544844120667,0.0,87.49816348996217,26.867565206244155,112.31280371233119,157.33890145114825,0.0,47.12230976342349,1.6767767233467212,41.871860851991336,122.00253755699123
A0A087WP81,Uchl5,233.9247291105785,206.3320536862582,210.28659179498752,233.40926492405217,243.7977407737874,231.74315428288983,231.74867273981195,291.7652527183825,287.92332434843235,329.93027652377043,248.18411890773123,277.40719281314887
A0A087WP83,Hdlbp,307.9305573304811,364.8200007531868,435.9729752098321,406.75323867701076,302.56213135225374,449.6108988204223,923.9852248062923,176.72720772088434,565.0794792229301,311.4851735679781,339.5864910968565,299.95493324187044
A0A087WP85,Ktn1,221.25047467526153,229.07488828577465,177.67562293786537,145.0762909225365,97.83353413695896,236.00418648011245,230.02036360003788,111.83079465528145,379.812319693136,279.43440814500696,258.38305025818835,279.76479486701766
A0A087WP86,Actr3,1014.1610853706909,956.95194252834,1250.6228633534697,990.353873828848,986.6437156885718,1276.2584496337006,1314.3966740772723,935.0530966674404,786.0319040258612,1137.167505402689,966.188267255587,1380.9601493620648
A0A087WP87,Rnf2,140.79328258231823,136.76876191431455,178.4261256495944,121.25211477258084,62.020530189928046,112.80208913363707,95.67340690699784,19.644378363705293,76.50127124788962,105.36993533154543,79.8051443920152,108.77625120996758
A0A087WP89,Phip,126.5446011721674,142.5677247415204,118.81939584980773,134.54727954783016,194.41194584691314,130.72242720709082,109.51336276464876,28.532017001421792,114.80491773047721,45.104865292143394,62.32214401332881,153.2971586390517
A0A087WPD2,Rbm15b,0.0,12.225395875834627,0.0,7.1881299807573065,39.16196611740298,0.0,9.855136622107258,0.0,18.016935274108565,18.2839418563962,8.104980693409594,36.246014181325506
A0A087WPD3,Pknox2,2.29277570681774,4.053770862607067,0.0,1.4491833976827546,1.3914139909137115,0.0,0.9017714931824399,0.0,0.0,0.9785023025662294,0.0,0.0
A0A087WPG6,D2hgdh,1.0679195996192754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0A087WPH0,Ncf2,11.06792162296791,20.258426923441863,44.45468331046432,50.984342973117776,40.60025358414243,75.58638540559144,216.90333442626434,3.0506224293977797,0.0,18.239509907298455,43.12950017863434,103.41247622406834
A0A087WPJ6,Rad54l2,0.0,0.0,0.0,0.0,0.0,30.616334403398938,9.76800812791579,0.0,8.804319847488662,0.0,41.58970476360571,75.21719778335385
A0A087WPL0,Runx1,192.07102536837746,170.52573203551057,159.31309802735072,140.25240092264053,145.970001001084,148.14431655952168,80.7234309854946,159.5541443822271,80.27145139035645,123.91701325248009,112.7566567648973,80.46438539309236
A0A087WPL1,Pdlim2,108.27407341904173,70.97634674636139,65.7531326350564,86.27684942743541,61.83350975607787,64.01667057051678,1.5912038760615654,86.40926888423692,0.0,123.82347409010202,63.93426310054592,74.11093803150716
A0A087WPL4,Bap1,0.0,0.0,0.0,0.0,0.0,0.0,9.222843463440597,0.0,0.0,0.0,0.0,0.0
A0A087WPM0,2700094K13Rik,0.0,0.0,10.48968389541382,0.0,43.101141779918464,55.02758224684204,22.722779229564388,11.530045071974007,15.362724438422779,40.75007691776395,45.301304698759786,50.92898469222189
A0A087WPM3,Ilkap,100.83678565594974,73.0078813976313,69.87722743137601,89.47876877838642,116.94485804466194,89.47128454674119,73.30013621677685,23.267832005039143,145.15093163768566,97.57682893811833,58.459552071725355,82.26892125214779
A0A087WPQ2,Cdc73,72.09474086558221,105.1387740066122,63.465579564268126,78.60871842988907,64.52053908529176,99.397116456431,126.28885829721396,0.0,136.66392405658848,47.66919687821426,72.14494025175877,80.94537306221726
A0A087WPR5,Ptpn18,63.568474591874164,67.76183706152656,82.33922311993301,98.0425300884524,140.77793498184113,61.967341524795366,61.60905311787541,99.46069148366597,40.10364119151315,70.96729181300428,72.38078099144565,104.55750503567394
A0A087WPR9,Fam134a,1.769054347404789,0.0,0.0,0.0,0.0,0.0,2.1244418102723093,0.0,4.921998380238234,0.0,0.0,0.0
A0A087WPT0,Lrrfip1,307.63125270768745,264.6116578102596,371.25109717533127,357.667478960646,372.5788842147918,354.7020274366401,188.0687275377807,310.9980810471494,129.30249955051858,188.90955459119468,231.251933754784,408.66302019170996
A0A087WPT2,Ptgs2,379.5594800232522,432.47826181493247,384.2024338540832,376.78924077786434,211.46577442829124,204.36019290489432,266.8051748860172,230.07352350392873,265.94163630102645,255.5925765979072,324.4804598448559,178.67110918298582
A0A087WPT3,Twf2,70.11179923705663,150.919776436887,178.40104245772628,205.57822236283005,217.28766755056054,258.67400519216807,279.01987111999193,160.4512889187,97.25378690217748,256.84842709055243,165.825484159787,383.4817432141468
A0A087WPV1,Ube2t,0.0,13.684429890979485,10.54162457469891,0.0,5.280086245132095,12.026477607800192,8.157049351624677,0.0,9.08831210586217,0.0,8.864635912475899,26.95814127162639
A0A087WPZ0,Fbxl19,0.0,0.0,0.0,0.0,0.0,0.0,6.640742454184111,0.0,0.0,0.0,0.0,0.0
